Bulbasaur:Bulbasaur(1), Grass/Poison Type, HP 45, Attack 49, Defense 49, Sp. Attack 65, Sp. Defense 65, Speed 45§
zubat:Zubat(41), Poison/Flying Type, HP 40, Attack 45, Defense 35, Sp. Attack 30, Sp. Defense 40, Speed 55§
golbat:Golbat(42), Poison/Flying Type, HP 75, Attack 80, Defense 70, Sp. Attack 65, Sp. Defense 75, Speed 90§
oddish:Oddish(43), Grass/Poison Type, HP 45, Attack 50, Defense 55, Sp. Attack 75, Sp. Defense 65, Speed 30§
gloom:Gloom(44), Grass/Poison Type, HP 60, Attack 65, Defense 70, Sp. Attack 85, Sp. Defense 75, Speed 40§
vileplume:Vileplume(45), Grass/Poison Type, HP 75, Attack 80, Defense 85, Sp. Attack 110, Sp. Defense 90, Speed 50§
paras:Paras(46), Bug/Grass Type, HP 35, Attack 70, Defense 55, Sp. Attack 45, Sp. Defense 55, Speed 25§
parasect:Parasect(47), Bug/Grass Type, HP 60, Attack 95, Defense 80, Sp. Attack 60, Sp. Defense 80, Speed 30§
venonat:Venonat(48), Bug/Poison Type, HP 60, Attack 55, Defense 50, Sp. Attack 40, Sp. Defense 55, Speed 45§
venomoth:Venomoth(49), Bug/Poison Type, HP 70, Attack 65, Defense 60, Sp. Attack 90, Sp. Defense 75, Speed 90§
diglett:Diglett(50), Ground Type, HP 10, Attack 55, Defense 25, Sp. Attack 35, Sp. Defense 45, Speed 95§
dugtrio:Dugtrio(51), Ground Type, HP 35, Attack 100, Defense 50, Sp. Attack 50, Sp. Defense 70, Speed 120§
meowth:Meowth(52), Normal Type, HP 40, Attack 45, Defense 35, Sp. Attack 40, Sp. Defense 40, Speed 90§
persian:Persian(53), Normal Type, HP 65, Attack 70, Defense 60, Sp. Attack 65, Sp. Defense 65, Speed 115§
psyduck:Psyduck(54), Water Type, HP 50, Attack 52, Defense 48, Sp. Attack 65, Sp. Defense 50, Speed 55§
golduck:Golduck(55), Water Type, HP 80, Attack 82, Defense 78, Sp. Attack 95, Sp. Defense 80, Speed 85§
mankey:Mankey(56), Fighting Type, HP 40, Attack 80, Defense 35, Sp. Attack 35, Sp. Defense 45, Speed 70§
primeape:Primeape(57), Fighting Type, HP 65, Attack 105, Defense 60, Sp. Attack 60, Sp. Defense 70, Speed 95§
growlithe:Growlithe(58), Fire Type, HP 55, Attack 70, Defense 45, Sp. Attack 70, Sp. Defense 50, Speed 60§
arcanine:Arcanine(59), Fire Type, HP 90, Attack 110, Defense 80, Sp. Attack 100, Sp. Defense 80, Speed 95§
poliwag:Poliwag(60), Water Type, HP 40, Attack 50, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 90§
poliwhirl:Poliwhirl(61), Water Type, HP 65, Attack 65, Defense 65, Sp. Attack 50, Sp. Defense 50, Speed 90§
poliwrath:Poliwrath(62), Water/Fighting Type, HP 90, Attack 95, Defense 95, Sp. Attack 70, Sp. Defense 90, Speed 70§
abra:Abra(63), Psychic Type, HP 25, Attack 20, Defense 15, Sp. Attack 105, Sp. Defense 55, Speed 90§
kadabra:Kadabra(64), Psychic Type, HP 40, Attack 35, Defense 30, Sp. Attack 120, Sp. Defense 70, Speed 105§
alakazam:Alakazam(65), Psychic Type, HP 55, Attack 50, Defense 45, Sp. Attack 135, Sp. Defense 95, Speed 120§
machop:Machop(66), Fighting Type, HP 70, Attack 80, Defense 50, Sp. Attack 35, Sp. Defense 35, Speed 35§
machoke:Machoke(67), Fighting Type, HP 80, Attack 100, Defense 70, Sp. Attack 50, Sp. Defense 60, Speed 45§
machamp:Machamp(68), Fighting Type, HP 90, Attack 130, Defense 80, Sp. Attack 65, Sp. Defense 85, Speed 55§
bellsprout:Bellsprout(69), Grass/Poison Type, HP 50, Attack 75, Defense 35, Sp. Attack 70, Sp. Defense 30, Speed 40§
weepinbell:Weepinbell(70), Grass/Poison Type, HP 65, Attack 90, Defense 50, Sp. Attack 85, Sp. Defense 45, Speed 55§
victreebel:Victreebel(71), Grass/Poison Type, HP 80, Attack 105, Defense 65, Sp. Attack 100, Sp. Defense 70, Speed 70§
tentacool:Tentacool(72), Water/Poison Type, HP 40, Attack 40, Defense 35, Sp. Attack 50, Sp. Defense 100, Speed 70§
tentacruel:Tentacruel(73), Water/Poison Type, HP 80, Attack 70, Defense 65, Sp. Attack 80, Sp. Defense 120, Speed 100§
geodude:Geodude(74), Rock/Ground Type, HP 40, Attack 80, Defense 100, Sp. Attack 30, Sp. Defense 30, Speed 20§
graveler:Graveler(75), Rock/Ground Type, HP 55, Attack 95, Defense 115, Sp. Attack 45, Sp. Defense 45, Speed 35§
golem:Golem(76), Rock/Ground Type, HP 80, Attack 120, Defense 130, Sp. Attack 55, Sp. Defense 65, Speed 45§
ponyta:Ponyta(77), Fire Type, HP 50, Attack 85, Defense 55, Sp. Attack 65, Sp. Defense 65, Speed 90§
rapidash:Rapidash(78), Fire Type, HP 65, Attack 100, Defense 70, Sp. Attack 80, Sp. Defense 80, Speed 105§
slowpoke:Slowpoke(79), Water/Psychic Type, HP 90, Attack 65, Defense 65, Sp. Attack 40, Sp. Defense 40, Speed 15§
slowbro:Slowbro(80), Water/Psychic Type, HP 95, Attack 75, Defense 110, Sp. Attack 100, Sp. Defense 80, Speed 30§
magnemite:Magnemite(81), Electric/Steel Type, HP 25, Attack 35, Defense 70, Sp. Attack 95, Sp. Defense 55, Speed 45§
magneton:Magneton(82), Electric/Steel Type, HP 50, Attack 60, Defense 95, Sp. Attack 120, Sp. Defense 70, Speed 70§
farfetch'd:Farfetch'd(83), Normal/Flying Type, HP 52, Attack 90, Defense 55, Sp. Attack 58, Sp. Defense 62, Speed 60§
doduo:Doduo(84), Normal/Flying Type, HP 35, Attack 85, Defense 45, Sp. Attack 35, Sp. Defense 35, Speed 75§
dodrio:Dodrio(85), Normal/Flying Type, HP 60, Attack 110, Defense 70, Sp. Attack 60, Sp. Defense 60, Speed 110§
seel:Seel(86), Water Type, HP 65, Attack 45, Defense 55, Sp. Attack 45, Sp. Defense 70, Speed 45§
dewgong:Dewgong(87), Water/Ice Type, HP 90, Attack 70, Defense 80, Sp. Attack 70, Sp. Defense 95, Speed 70§
grimer:Grimer(88), Poison Type, HP 80, Attack 80, Defense 50, Sp. Attack 40, Sp. Defense 50, Speed 25§
muk:Muk(89), Poison Type, HP 105, Attack 105, Defense 75, Sp. Attack 65, Sp. Defense 100, Speed 50§
shellder:Shellder(90), Water Type, HP 30, Attack 65, Defense 100, Sp. Attack 45, Sp. Defense 25, Speed 40§
cloyster:Cloyster(91), Water/Ice Type, HP 50, Attack 95, Defense 180, Sp. Attack 85, Sp. Defense 45, Speed 70§
gastly:Gastly(92), Ghost/Poison Type, HP 30, Attack 35, Defense 30, Sp. Attack 100, Sp. Defense 35, Speed 80§
haunter:Haunter(93), Ghost/Poison Type, HP 45, Attack 50, Defense 45, Sp. Attack 115, Sp. Defense 55, Speed 95§
gengar:Gengar(94), Ghost/Poison Type, HP 60, Attack 65, Defense 60, Sp. Attack 130, Sp. Defense 75, Speed 110§
onix:Onix(95), Rock/Ground Type, HP 35, Attack 45, Defense 160, Sp. Attack 30, Sp. Defense 45, Speed 70§
drowzee:Drowzee(96), Psychic Type, HP 60, Attack 48, Defense 45, Sp. Attack 43, Sp. Defense 90, Speed 42§
hypno:Hypno(97), Psychic Type, HP 85, Attack 73, Defense 70, Sp. Attack 73, Sp. Defense 115, Speed 67§
krabby:Krabby(98), Water Type, HP 30, Attack 105, Defense 90, Sp. Attack 25, Sp. Defense 25, Speed 50§
kingler:Kingler(99), Water Type, HP 55, Attack 130, Defense 115, Sp. Attack 50, Sp. Defense 50, Speed 75§
voltorb:Voltorb(100), Electric Type, HP 40, Attack 30, Defense 50, Sp. Attack 55, Sp. Defense 55, Speed 100§
electrode:Electrode(101), Electric Type, HP 60, Attack 50, Defense 70, Sp. Attack 80, Sp. Defense 80, Speed 150§
exeggcute:Exeggcute(102), Grass/Psychic Type, HP 60, Attack 40, Defense 80, Sp. Attack 60, Sp. Defense 45, Speed 40§
exeggutor:Exeggutor(103), Grass/Psychic Type, HP 95, Attack 95, Defense 85, Sp. Attack 125, Sp. Defense 75, Speed 55§
cubone:Cubone(104), Ground Type, HP 50, Attack 50, Defense 95, Sp. Attack 40, Sp. Defense 50, Speed 35§
marowak:Marowak(105), Ground Type, HP 60, Attack 80, Defense 110, Sp. Attack 50, Sp. Defense 80, Speed 45§
hitmonlee:Hitmonlee(106), Fighting Type, HP 50, Attack 120, Defense 53, Sp. Attack 35, Sp. Defense 110, Speed 87§
hitmonchan:Hitmonchan(107), Fighting Type, HP 50, Attack 105, Defense 79, Sp. Attack 35, Sp. Defense 110, Speed 76§
lickitung:Lickitung(108), Normal Type, HP 90, Attack 55, Defense 75, Sp. Attack 60, Sp. Defense 75, Speed 30§
koffing:Koffing(109), Poison Type, HP 40, Attack 65, Defense 95, Sp. Attack 60, Sp. Defense 45, Speed 35§
weezing:Weezing(110), Poison Type, HP 65, Attack 90, Defense 120, Sp. Attack 85, Sp. Defense 70, Speed 60§
rhyhorn:Rhyhorn(111), Ground/Rock Type, HP 80, Attack 85, Defense 95, Sp. Attack 30, Sp. Defense 30, Speed 25§
rhydon:Rhydon(112), Ground/Rock Type, HP 105, Attack 130, Defense 120, Sp. Attack 45, Sp. Defense 45, Speed 40§
chansey:Chansey(113), Normal Type, HP 250, Attack 5, Defense 5, Sp. Attack 35, Sp. Defense 105, Speed 50§
tangela:Tangela(114), Grass Type, HP 65, Attack 55, Defense 115, Sp. Attack 100, Sp. Defense 40, Speed 60§
kangaskhan:Kangaskhan(115), Normal Type, HP 105, Attack 95, Defense 80, Sp. Attack 40, Sp. Defense 80, Speed 90§
horsea:Horsea(116), Water Type, HP 30, Attack 40, Defense 70, Sp. Attack 70, Sp. Defense 25, Speed 60§
seadra:Seadra(117), Water Type, HP 55, Attack 65, Defense 95, Sp. Attack 95, Sp. Defense 45, Speed 85§
goldeen:Goldeen(118), Water Type, HP 45, Attack 67, Defense 60, Sp. Attack 35, Sp. Defense 50, Speed 63§
seaking:Seaking(119), Water Type, HP 80, Attack 92, Defense 65, Sp. Attack 65, Sp. Defense 80, Speed 68§
staryu:Staryu(120), Water Type, HP 30, Attack 45, Defense 55, Sp. Attack 70, Sp. Defense 55, Speed 85§
starmie:Starmie(121), Water/Psychic Type, HP 60, Attack 75, Defense 85, Sp. Attack 100, Sp. Defense 85, Speed 115§
mr.mime:Mr. Mime(122), Psychic/Fairy Type, HP 40, Attack 45, Defense 65, Sp. Attack 100, Sp. Defense 120, Speed 90§
scyther:Scyther(123), Bug/Flying Type, HP 70, Attack 110, Defense 80, Sp. Attack 55, Sp. Defense 80, Speed 105§
jynx:Jynx(124), Ice/Psychic Type, HP 65, Attack 50, Defense 35, Sp. Attack 115, Sp. Defense 95, Speed 95§
electabuzz:Electabuzz(125), Electric Type, HP 65, Attack 83, Defense 57, Sp. Attack 95, Sp. Defense 85, Speed 105§
magmar:Magmar(126), Fire Type, HP 65, Attack 95, Defense 57, Sp. Attack 100, Sp. Defense 85, Speed 93§
pinsir:Pinsir(127), Bug Type, HP 65, Attack 125, Defense 100, Sp. Attack 55, Sp. Defense 70, Speed 85§
tauros:Tauros(128), Normal Type, HP 75, Attack 100, Defense 95, Sp. Attack 40, Sp. Defense 70, Speed 110§
magikarp:Magikarp(129), Water Type, HP 20, Attack 10, Defense 55, Sp. Attack 15, Sp. Defense 20, Speed 80§
gyarados:Gyarados(130), Water/Flying Type, HP 95, Attack 125, Defense 79, Sp. Attack 60, Sp. Defense 100, Speed 81§
lapras:Lapras(131), Water/Ice Type, HP 130, Attack 85, Defense 80, Sp. Attack 85, Sp. Defense 95, Speed 60§
ditto:Ditto(132), Normal Type, HP 48, Attack 48, Defense 48, Sp. Attack 48, Sp. Defense 48, Speed 48§
eevee:Eevee(133), Normal Type, HP 55, Attack 55, Defense 50, Sp. Attack 45, Sp. Defense 65, Speed 55§
vaporeon:Vaporeon(134), Water Type, HP 130, Attack 65, Defense 60, Sp. Attack 110, Sp. Defense 95, Speed 65§
jolteon:Jolteon(135), Electric Type, HP 65, Attack 65, Defense 60, Sp. Attack 110, Sp. Defense 95, Speed 130§
flareon:Flareon(136), Fire Type, HP 65, Attack 130, Defense 60, Sp. Attack 95, Sp. Defense 110, Speed 65§
porygon:Porygon(137), Normal Type, HP 65, Attack 60, Defense 70, Sp. Attack 85, Sp. Defense 75, Speed 40§
omanyte:Omanyte(138), Rock/Water Type, HP 35, Attack 40, Defense 100, Sp. Attack 90, Sp. Defense 55, Speed 35§
omastar:Omastar(139), Rock/Water Type, HP 70, Attack 60, Defense 125, Sp. Attack 115, Sp. Defense 70, Speed 55§
kabuto:Kabuto(140), Rock/Water Type, HP 30, Attack 80, Defense 90, Sp. Attack 55, Sp. Defense 45, Speed 55§
kabutops:Kabutops(141), Rock/Water Type, HP 60, Attack 115, Defense 105, Sp. Attack 65, Sp. Defense 70, Speed 80§
aerodactyl:Aerodactyl(142), Rock/Flying Type, HP 80, Attack 105, Defense 65, Sp. Attack 60, Sp. Defense 75, Speed 130§
snorlax:Snorlax(143), Normal Type, HP 160, Attack 110, Defense 65, Sp. Attack 65, Sp. Defense 110, Speed 30§
articuno:Articuno(144), Ice/Flying Type, HP 90, Attack 85, Defense 100, Sp. Attack 95, Sp. Defense 125, Speed 85§
zapdos:Zapdos(145), Electric/Flying Type, HP 90, Attack 90, Defense 85, Sp. Attack 125, Sp. Defense 90, Speed 100§
moltres:Moltres(146), Fire/Flying Type, HP 90, Attack 100, Defense 90, Sp. Attack 125, Sp. Defense 85, Speed 90§
dratini:Dratini(147), Dragon Type, HP 41, Attack 64, Defense 45, Sp. Attack 50, Sp. Defense 50, Speed 50§
dragonair:Dragonair(148), Dragon Type, HP 61, Attack 84, Defense 65, Sp. Attack 70, Sp. Defense 70, Speed 70§
dragonite:Dragonite(149), Dragon/Flying Type, HP 91, Attack 134, Defense 95, Sp. Attack 100, Sp. Defense 100, Speed 80§
mewtwo:Mewtwo(150), Psychic Type, HP 106, Attack 110, Defense 90, Sp. Attack 154, Sp. Defense 90, Speed 130§
mew:Mew(151), Psychic Type, HP 100, Attack 100, Defense 100, Sp. Attack 100, Sp. Defense 100, Speed 100§
chikorita:Chikorita(152), Grass Type, HP 45, Attack 49, Defense 65, Sp. Attack 49, Sp. Defense 65, Speed 45§
bayleef:Bayleef(153), Grass Type, HP 60, Attack 62, Defense 80, Sp. Attack 63, Sp. Defense 80, Speed 60§
meganium:Meganium(154), Grass Type, HP 80, Attack 82, Defense 100, Sp. Attack 83, Sp. Defense 100, Speed 80§
cyndaquil:Cyndaquil(155), Fire Type, HP 39, Attack 52, Defense 43, Sp. Attack 60, Sp. Defense 50, Speed 65§
quilava:Quilava(156), Fire Type, HP 58, Attack 64, Defense 58, Sp. Attack 80, Sp. Defense 65, Speed 80§
typhlosion:Typhlosion(157), Fire Type, HP 78, Attack 84, Defense 78, Sp. Attack 109, Sp. Defense 85, Speed 100§
totodile:Totodile(158), Water Type, HP 50, Attack 65, Defense 64, Sp. Attack 44, Sp. Defense 48, Speed 43§
croconaw:Croconaw(159), Water Type, HP 65, Attack 80, Defense 80, Sp. Attack 59, Sp. Defense 63, Speed 58§
feraligatr:Feraligatr(160), Water Type, HP 85, Attack 105, Defense 100, Sp. Attack 79, Sp. Defense 83, Speed 78§
sentret:Sentret(161), Normal Type, HP 35, Attack 46, Defense 34, Sp. Attack 35, Sp. Defense 45, Speed 20§
furret:Furret(162), Normal Type, HP 85, Attack 76, Defense 64, Sp. Attack 45, Sp. Defense 55, Speed 90§
hoothoot:Hoothoot(163), Normal/Flying Type, HP 60, Attack 30, Defense 30, Sp. Attack 36, Sp. Defense 56, Speed 50§
noctowl:Noctowl(164), Normal/Flying Type, HP 100, Attack 50, Defense 50, Sp. Attack 86, Sp. Defense 96, Speed 70§
ledyba:Ledyba(165), Bug/Flying Type, HP 40, Attack 20, Defense 30, Sp. Attack 40, Sp. Defense 80, Speed 55§
ledian:Ledian(166), Bug/Flying Type, HP 55, Attack 35, Defense 50, Sp. Attack 55, Sp. Defense 110, Speed 85§
spinarak:Spinarak(167), Bug/Poison Type, HP 40, Attack 60, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 30§
ariados:Ariados(168), Bug/Poison Type, HP 70, Attack 90, Defense 70, Sp. Attack 60, Sp. Defense 70, Speed 40§
crobat:Crobat(169), Poison/Flying Type, HP 85, Attack 90, Defense 80, Sp. Attack 70, Sp. Defense 80, Speed 130§
chinchou:Chinchou(170), Water/Electric Type, HP 75, Attack 38, Defense 38, Sp. Attack 56, Sp. Defense 56, Speed 67§
lanturn:Lanturn(171), Water/Electric Type, HP 125, Attack 58, Defense 58, Sp. Attack 76, Sp. Defense 76, Speed 67§
pichu:Pichu(172), Electric Type, HP 20, Attack 40, Defense 15, Sp. Attack 35, Sp. Defense 35, Speed 60§
cleffa:Cleffa(173), Fairy Type, HP 50, Attack 25, Defense 28, Sp. Attack 45, Sp. Defense 55, Speed 15§
igglybuff:Igglybuff(174), Normal/Fairy Type, HP 90, Attack 30, Defense 15, Sp. Attack 40, Sp. Defense 20, Speed 15§
togepi:Togepi(175), Fairy Type, HP 35, Attack 20, Defense 65, Sp. Attack 40, Sp. Defense 65, Speed 20§
togetic:Togetic(176), Fairy/Flying Type, HP 55, Attack 40, Defense 85, Sp. Attack 80, Sp. Defense 105, Speed 40§
natu:Natu(177), Psychic/Flying Type, HP 40, Attack 50, Defense 45, Sp. Attack 70, Sp. Defense 45, Speed 70§
xatu:Xatu(178), Psychic/Flying Type, HP 65, Attack 75, Defense 70, Sp. Attack 95, Sp. Defense 70, Speed 95§
mareep:Mareep(179), Electric Type, HP 55, Attack 40, Defense 40, Sp. Attack 65, Sp. Defense 45, Speed 35§
flaaffy:Flaaffy(180), Electric Type, HP 70, Attack 55, Defense 55, Sp. Attack 80, Sp. Defense 60, Speed 45§
ampharos:Ampharos(181), Electric Type, HP 90, Attack 75, Defense 85, Sp. Attack 115, Sp. Defense 90, Speed 55§
bellossom:Bellossom(182), Grass Type, HP 75, Attack 80, Defense 95, Sp. Attack 90, Sp. Defense 100, Speed 50§
marill:Marill(183), Water/Fairy Type, HP 70, Attack 20, Defense 50, Sp. Attack 20, Sp. Defense 50, Speed 40§
azumarill:Azumarill(184), Water/Fairy Type, HP 100, Attack 50, Defense 80, Sp. Attack 60, Sp. Defense 80, Speed 50§
sudowoodo:Sudowoodo(185), Rock Type, HP 70, Attack 100, Defense 115, Sp. Attack 30, Sp. Defense 65, Speed 30§
politoed:Politoed(186), Water Type, HP 90, Attack 75, Defense 75, Sp. Attack 90, Sp. Defense 100, Speed 70§
hoppip:Hoppip(187), Grass/Flying Type, HP 35, Attack 35, Defense 40, Sp. Attack 35, Sp. Defense 55, Speed 50§
skiploom:Skiploom(188), Grass/Flying Type, HP 55, Attack 45, Defense 50, Sp. Attack 45, Sp. Defense 65, Speed 80§
jumpluff:Jumpluff(189), Grass/Flying Type, HP 75, Attack 55, Defense 70, Sp. Attack 55, Sp. Defense 95, Speed 110§
aipom:Aipom(190), Normal Type, HP 55, Attack 70, Defense 55, Sp. Attack 40, Sp. Defense 55, Speed 85§
sunkern:Sunkern(191), Grass Type, HP 30, Attack 30, Defense 30, Sp. Attack 30, Sp. Defense 30, Speed 30§
sunflora:Sunflora(192), Grass Type, HP 75, Attack 75, Defense 55, Sp. Attack 105, Sp. Defense 85, Speed 30§
yanma:Yanma(193), Bug/Flying Type, HP 65, Attack 65, Defense 45, Sp. Attack 75, Sp. Defense 45, Speed 95§
wooper:Wooper(194), Water/Ground Type, HP 55, Attack 45, Defense 45, Sp. Attack 25, Sp. Defense 25, Speed 15§
quagsire:Quagsire(195), Water/Ground Type, HP 95, Attack 85, Defense 85, Sp. Attack 65, Sp. Defense 65, Speed 35§
espeon:Espeon(196), Psychic Type, HP 65, Attack 65, Defense 60, Sp. Attack 130, Sp. Defense 95, Speed 110§
umbreon:Umbreon(197), Dark Type, HP 95, Attack 65, Defense 110, Sp. Attack 60, Sp. Defense 130, Speed 65§
murkrow:Murkrow(198), Dark/Flying Type, HP 60, Attack 85, Defense 42, Sp. Attack 85, Sp. Defense 42, Speed 91§
slowking:Slowking(199), Water/Psychic Type, HP 95, Attack 75, Defense 80, Sp. Attack 100, Sp. Defense 110, Speed 30§
misdreavus:Misdreavus(200), Ghost Type, HP 60, Attack 60, Defense 60, Sp. Attack 85, Sp. Defense 85, Speed 85§
unown:Unown(201), Psychic Type, HP 48, Attack 72, Defense 48, Sp. Attack 72, Sp. Defense 48, Speed 48§
wobbuffet:Wobbuffet(202), Psychic Type, HP 190, Attack 33, Defense 58, Sp. Attack 33, Sp. Defense 58, Speed 33§
girafarig:Girafarig(203), Normal/Psychic Type, HP 70, Attack 80, Defense 65, Sp. Attack 90, Sp. Defense 65, Speed 85§
pineco:Pineco(204), Bug Type, HP 50, Attack 65, Defense 90, Sp. Attack 35, Sp. Defense 35, Speed 15§
forretress:Forretress(205), Bug/Steel Type, HP 75, Attack 90, Defense 140, Sp. Attack 60, Sp. Defense 60, Speed 40§
dunsparce:Dunsparce(206), Normal Type, HP 100, Attack 70, Defense 70, Sp. Attack 65, Sp. Defense 65, Speed 45§
gligar:Gligar(207), Ground/Flying Type, HP 65, Attack 75, Defense 105, Sp. Attack 35, Sp. Defense 65, Speed 85§
steelix:Steelix(208), Steel/Ground Type, HP 75, Attack 85, Defense 200, Sp. Attack 55, Sp. Defense 65, Speed 30§
snubbull:Snubbull(209), Fairy Type, HP 60, Attack 80, Defense 50, Sp. Attack 40, Sp. Defense 40, Speed 30§
granbull:Granbull(210), Fairy Type, HP 90, Attack 120, Defense 75, Sp. Attack 60, Sp. Defense 60, Speed 45§
qwilfish:Qwilfish(211), Water/Poison Type, HP 65, Attack 95, Defense 85, Sp. Attack 55, Sp. Defense 55, Speed 85§
scizor:Scizor(212), Bug/Steel Type, HP 70, Attack 130, Defense 100, Sp. Attack 55, Sp. Defense 80, Speed 65§
shuckle:Shuckle(213), Bug/Rock Type, HP 20, Attack 10, Defense 230, Sp. Attack 10, Sp. Defense 230, Speed 5§
heracross:Heracross(214), Bug/Fighting Type, HP 80, Attack 125, Defense 75, Sp. Attack 40, Sp. Defense 95, Speed 85§
sneasel:Sneasel(215), Dark/Ice Type, HP 55, Attack 95, Defense 55, Sp. Attack 35, Sp. Defense 75, Speed 115§
teddiursa:Teddiursa(216), Normal Type, HP 60, Attack 80, Defense 50, Sp. Attack 50, Sp. Defense 50, Speed 40§
ursaring:Ursaring(217), Normal Type, HP 90, Attack 130, Defense 75, Sp. Attack 75, Sp. Defense 75, Speed 55§
slugma:Slugma(218), Fire Type, HP 40, Attack 40, Defense 40, Sp. Attack 70, Sp. Defense 40, Speed 20§
magcargo:Magcargo(219), Fire/Rock Type, HP 60, Attack 50, Defense 120, Sp. Attack 90, Sp. Defense 80, Speed 30§
swinub:Swinub(220), Ice/Ground Type, HP 50, Attack 50, Defense 40, Sp. Attack 30, Sp. Defense 30, Speed 50§
piloswine:Piloswine(221), Ice/Ground Type, HP 100, Attack 100, Defense 80, Sp. Attack 60, Sp. Defense 60, Speed 50§
corsola:Corsola(222), Water/Rock Type, HP 65, Attack 55, Defense 95, Sp. Attack 65, Sp. Defense 95, Speed 35§
remoraid:Remoraid(223), Water Type, HP 35, Attack 65, Defense 35, Sp. Attack 65, Sp. Defense 35, Speed 65§
octillery:Octillery(224), Water Type, HP 75, Attack 105, Defense 75, Sp. Attack 105, Sp. Defense 75, Speed 45§
delibird:Delibird(225), Ice/Flying Type, HP 45, Attack 55, Defense 45, Sp. Attack 65, Sp. Defense 45, Speed 75§
mantine:Mantine(226), Water/Flying Type, HP 85, Attack 40, Defense 70, Sp. Attack 80, Sp. Defense 140, Speed 70§
skarmory:Skarmory(227), Steel/Flying Type, HP 65, Attack 80, Defense 140, Sp. Attack 40, Sp. Defense 70, Speed 70§
houndour:Houndour(228), Dark/Fire Type, HP 45, Attack 60, Defense 30, Sp. Attack 80, Sp. Defense 50, Speed 65§
houndoom:Houndoom(229), Dark/Fire Type, HP 75, Attack 90, Defense 50, Sp. Attack 110, Sp. Defense 80, Speed 95§
kingdra:Kingdra(230), Water/Dragon Type, HP 75, Attack 95, Defense 95, Sp. Attack 95, Sp. Defense 95, Speed 85§
phanpy:Phanpy(231), Ground Type, HP 90, Attack 60, Defense 60, Sp. Attack 40, Sp. Defense 40, Speed 40§
donphan:Donphan(232), Ground Type, HP 90, Attack 120, Defense 120, Sp. Attack 60, Sp. Defense 60, Speed 50§
porygon2:Porygon2(233), Normal Type, HP 85, Attack 80, Defense 90, Sp. Attack 105, Sp. Defense 95, Speed 60§
stantler:Stantler(234), Normal Type, HP 73, Attack 95, Defense 62, Sp. Attack 85, Sp. Defense 65, Speed 85§
smeargle:Smeargle(235), Normal Type, HP 55, Attack 20, Defense 35, Sp. Attack 20, Sp. Defense 45, Speed 75§
tyrogue:Tyrogue(236), Fighting Type, HP 35, Attack 35, Defense 35, Sp. Attack 35, Sp. Defense 35, Speed 35§
hitmontop:Hitmontop(237), Fighting Type, HP 50, Attack 95, Defense 95, Sp. Attack 35, Sp. Defense 110, Speed 70§
smoochum:Smoochum(238), Ice/Psychic Type, HP 45, Attack 30, Defense 15, Sp. Attack 85, Sp. Defense 65, Speed 65§
elekid:Elekid(239), Electric Type, HP 45, Attack 63, Defense 37, Sp. Attack 65, Sp. Defense 55, Speed 95§
magby:Magby(240), Fire Type, HP 45, Attack 75, Defense 37, Sp. Attack 70, Sp. Defense 55, Speed 83§
miltank:Miltank(241), Normal Type, HP 95, Attack 80, Defense 105, Sp. Attack 40, Sp. Defense 70, Speed 100§
blissey:Blissey(242), Normal Type, HP 255, Attack 10, Defense 10, Sp. Attack 75, Sp. Defense 135, Speed 55§
raikou:Raikou(243), Electric Type, HP 90, Attack 85, Defense 75, Sp. Attack 115, Sp. Defense 100, Speed 115§
entei:Entei(244), Fire Type, HP 115, Attack 115, Defense 85, Sp. Attack 90, Sp. Defense 75, Speed 100§
suicune:Suicune(245), Water Type, HP 100, Attack 75, Defense 115, Sp. Attack 90, Sp. Defense 115, Speed 85§
larvitar:Larvitar(246), Rock/Ground Type, HP 50, Attack 64, Defense 50, Sp. Attack 45, Sp. Defense 50, Speed 41§
pupitar:Pupitar(247), Rock/Ground Type, HP 70, Attack 84, Defense 70, Sp. Attack 65, Sp. Defense 70, Speed 51§
tyranitar:Tyranitar(248), Rock/Dark Type, HP 100, Attack 134, Defense 110, Sp. Attack 95, Sp. Defense 100, Speed 61§
lugia:Lugia(249), Psychic/Flying Type, HP 106, Attack 90, Defense 130, Sp. Attack 90, Sp. Defense 154, Speed 110§
ho-oh:Ho-oh(250), Fire/Flying Type, HP 106, Attack 130, Defense 90, Sp. Attack 110, Sp. Defense 154, Speed 90§
celebi:Celebi(251), Psychic/Grass Type, HP 100, Attack 100, Defense 100, Sp. Attack 100, Sp. Defense 100, Speed 100§
treecko:Treecko(252), Grass Type, HP 40, Attack 45, Defense 35, Sp. Attack 65, Sp. Defense 55, Speed 70§
grovyle:Grovyle(253), Grass Type, HP 50, Attack 65, Defense 45, Sp. Attack 85, Sp. Defense 65, Speed 95§
sceptile:Sceptile(254), Grass Type, HP 70, Attack 85, Defense 65, Sp. Attack 105, Sp. Defense 85, Speed 120§
torchic:Torchic(255), Fire Type, HP 45, Attack 60, Defense 40, Sp. Attack 70, Sp. Defense 50, Speed 45§
combusken:Combusken(256), Fire/Fighting Type, HP 60, Attack 85, Defense 60, Sp. Attack 85, Sp. Defense 60, Speed 55§
blaziken:Blaziken(257), Fire/Fighting Type, HP 80, Attack 120, Defense 70, Sp. Attack 110, Sp. Defense 70, Speed 80§
