Bulbasaur: フシギダネ (fushigidane)§
cranidos: ズガイドス (zugaidosu)§
rampardos: ラムパルド (ramuparudo)§
shieldon: タテトプス (tatetopusu)§
bastiodon: トリデプス (toridepusu)§
burmy: ミノムッチ (minomutchi)§
wormadam: ミノマダム (minomadamu)§
mothim: ガーメイル (ga-meiru)§
combee: ミツハニー (mitsuhani-)§
vespiquen: ビークイン (bi-kuin)§
pachirisu: パチリス (pachirisu)§
buizel: ブイゼル (buizeru)§
floatzel: フローゼル (furo-zeru)§
cherubi: チェリンボ (tyerinbo)§
cherrim: チェリム (tyerimu)§
shellos: カラナクシ (karanakushi)§
gastrodon: トリトソン (toritoson)§
ambipom: エテボース (etebo-su)§
drifloon: フワンテ (fuwante)§
drifblim: フワライド (fuwaraido)§
buneary: ミミロル (mimiroru)§
lopunny: ミミロップ (mimiroppu)§
mismagius: ムウマージ (muuma-ji)§
honchkrow: ドンカラス (donkarasu)§
glameow: ミャルマー (myaruma-)§
purugly: ブニャット (bunyatto)§
chingling: リーシャン (ri-shan)§
stunky: スカンプー (sukanpu-)§
skuntank: スカタンク (sukatanku)§
bronzor: ドーミラー (do-mira-)§
bronzong: ドータクン (do-takun)§
bonsly: ウソハチ (usohachi)§
mimejr.: マネネ (manene)§
happiny: ピンプク (pinpuku)§
chatot: ペラップ (perappu)§
spiritomb: ミカルゲ (mikaruge)§
gible: フカマル (fukamaru)§
gabite: ガバイト (gabaito)§
garchomp: ガブリアス (gaburiasu)§
munchlax: ゴンベ (gonbe)§
riolu: リオル (rioru)§
lucario: ルカリオ (rukario)§
hippopotas: ヒポポタス (hipopotasu)§
hippowdon: カバルドン (kabarudon)§
skorupi: スコルピ (sukorupi)§
drapion: ドラピオン (dorapion)§
croagunk: グレッグル (guregguru)§
toxicroak: ドクロッグ (dokuroggu)§
carnivine: マスキッパ (masukippa)§
finneon: ケイコウオ (keikouo)§
lumineon: ネオラント (neoranto)§
mantyke: タマンタ (tamanta)§
snover: ユキカブリ (yukikaburi)§
abomasnow: ユキノオー (yukinoo-)§
weavile: マニューラ (manyu-ra)§
magnezone: ジバコイル (jibakoiru)§
lickilicky: ベロベルト (beroberuto)§
rhyperior: ドサイドン (dosaidon)§
tangrowth: モジャンボ (mojanbo)§
electivire: エレキブル (erekiburu)§
magmortar: ブーバーン (bu-ba-n)§
togekiss: トゲキッス (togekissu)§
yanmega: メガヤンマ (megayanma)§
leafeon: リーフィア (ri-fyia)§
glaceon: グレイシア (gureishia)§
gliscor: グライオン (guraion)§
mamoswine: マンムー (manmu-)§
porygon-z: ポリゴンｚ (porigonzuxi-)§
gallade: エルレイド (erureido)§
probopass: ダイノーズ (daino-zu)§
dusknoir: ヨノワール (yonowa-ru)§
froslass: ユキメノコ (yukimenoko)§
rotom: ロトム (rotomu)§
uxie: ユクシー (yukushi-)§
mesprit: エムリット (emuritto)§
azelf: アグノム (agunomu)§
dialga: ヂィアルガ (dyiaruga)§
palkia: パルキア (parukia)§
heatran: ヒードラン (hi-doran)§
regigigas: レジギガス (rejigigasu)§
giratina: ギラティナ (girathina)§
cresselia: クレセリア (kureseria)§
phione: フィオネ (fyione)§
manaphy: マナフィ (manafyi)§
darkrai: ダークライ (da-kurai)§
shaymin: シェイミ (sheimi)§
arceus: アルセウス (aruseusu)§
victini: ビクチイニ (bikuchiini)§
snivy: ツタージャ (tsuta-ja)§
servine: ジャノビー (janobi-)§
serperior: ジャローダ (jaro-da)§
tepig: ポカブ (pokabu)§
pignite: チャオブー (chaobu-)§
emboar: エンブオー (enbuo-)§
oshawott: ミジュマル (mijumaru)§
dewott: フタチマル (futachimaru)§
samurott: ダイケンキ (daikenki)§
patrat: ミネズミ (minezumi)§
watchog: ミルホッグ (miruhoggu)§
lillipup: ヨーテリー (yo-teri-)§
herdier: ハーヂリア (ha-jiria)§
stoutland: ムーランド (mu-rando)§
purrloin: チョロネコ (choroneko)§
liepard: レパルダス (reparudasu)§
pansage: ヤナップ (yanappu)§
simisage: ヤナッキー (yanakki-)§
pansear: バオップ (baoppu)§
simisear: バオッキー (baokki-)§
panpour: ヒヤップ (hiyappu)§
simipour: ヒヤッキー (hiyakki-)§
munna: ムンナ (munna)§
musharna: ムシャーナ (musha-na)§
pidove: マメパト (mamepato)§
tranquill: ハトーポー (hato-po-)§
unfezant: ケンホロウ (kenhorou)§
blitzle: シママ (shimama)§
zebstrika: ゼブライカ (zeburaika)§
roggenrola: ダンゴロ (dangoro)§
boldore: ガントル (gantoru)§
gigalith: ギガイアス (gigaiasu)§
woobat: コロモリ (koromori)§
swoobat: ココロモリ (kokoromori)§
drilbur: モグリュー (moguryu-)§
excadrill: ドリュウズ (doryūzu)§
audino: タブンネ (tabunne)§
timburr: ドッコラー (dokkora-)§
gurdurr: ドテッコツ (dotekkotsu)§
conkeldurr: ローブシン (ro-bushin)§
tympole: オタマロ (otamaro)§
palpitoad: ガマガル (gamagaru)§
seismitoad: ガマゲロゲ (gamageroge)§
throh: ナゲキ (nageki)§
sawk: ダゲキ (dageki)§
sewaddle: クルミル (kurumiru)§
swadloon: クルマユ (kurumayu)§
leavanny: ハハコモリ (hahakomori)§
venipede: フシデ (fushide)§
whirlipede: ホイーガ (hoi-ga)§
scoliopede: ペンドラー (pendora-)§
cottonee: モンメン (monmen)§
whimsicott: エルフーン (erufu-n)§
petilil: チュリネ (churine)§
lilligant: ドレヂィア (doredyia)§
basculin: バスラオ (basurao)§
sandile: メグロコ (meguroko)§
krokorok: ワルビル (warubiru)§
krookodile: ワルビアル (warubiaru)§
darumaka: ダルマッカ (darumakka)§
darmanitan: ヒヒダルマ (hihidaruma)§
maractus: マラカッチ (marakatchi)§
dwebble: イシズマイ (ishizumai)§
crustle: イワパレス (iwaparesu)§
scraggy: ズルッグ (zuruggu)§
scrafty: ズルズキン (zuruzukin)§
sigilyph: シンボラー (shinbora-)§
yamask: デスマス (desumasu)§
cofagrigus: デスカーン (desuka-n)§
tirtouga: プロトーガ (puroto-ga)§
carracosta: アバゴーラ (abago-ra)§
archen: アーケン (a-ken)§
archeops: アーケオス (a-keosu)§
trubbish: ヤブクロン (yabukuron)§
garbodor: ダストダス (dasutodasu)§
zorua: ゾロア (zoroa)§
zoroark: ゾロアーク (zoroa-ku)§
minccino: チラーミィ (chira-myi)§
cinccino: チラチーノ (chirachi-no)§
gothita: ゴチム (gochimu)§
gothorita: ゴチミル (gochimiru)§
gothitelle: ゴチルゼル (gochiruzeru)§
solosis: ユニラン (yuniran)§
duosion: ダブラン (daburan)§
reuniclus: ランクルス (rankurusu)§
ducklett: コアルヒー (koaruhi-)§
swanna: スワンナ (suwanna)§
vanillite: バニプッチ (baniputchi)§
vanillish: バニリッチ (baniritchi)§
vanilluxe: バイバニラ (baibanira)§
deerling: シキジカ (shikijika)§
sawsbuck: メブキジカ (mebukijika)§
emolga: エモンガ (emonga)§
karrablast: カブルモ (kaburumo)§
escavalier: シュバルゴ (shubarugo)§
foongus: タマゲタケ (tamagetake)§
amoongus: モロバレル (morobareru)§
frillish: プルリル (pururiru)§
jellicent: ブルンゲル (burungeru)§
alomomola: ママンボウ (mamanbou)§
joltik: バチュル (bachuru)§
galvantula: デンチュラ (denchura)§
ferroseed: テッシード (tesshi-do)§
ferrothorn: ナットレイ (nattorei)§
klink: ギアル (giaru)§
klang: ギギアル (gigiaru)§
klinklang: ギギギアル (gigigiaru)§
tynamo: シビシラス (shibishirasu)§
eelektrik: シビビール (shibibi-ru)§
eelektross: シビルドン (shibirudon)§
elgyem: リグレー (rigure-)§
beheeyem: オーベム (o-bemu)§
litwick: ヒトモシ (hitomoshi)§
lampent: ランプラー (ranpura-)§
chandelure: シャンデラ (shandera)§
axew: キバゴ (kibago)§
fraxure: オノンド (onondo)§
haxorus: オノノクス (ononokusu)§
cubchoo: クマシュン (kumashun)§
beartic: ツンビアー (tsunbia-)§
cryogonal: フリージオ (furi-jio)§
shelmet: チョボマキ (chobomaki)§
accelgor: アギルダー (agiruda-)§
stunfisk: マッギョ (maggyo)§
mienfoo: コジョフー (kojofu-)§
mienshao: コジョンド (kojondo)§
druddigon: クリムガン (kurimugan)§
golette: ゴビット (gobitto)§
golurk: ゴルーグ (goru-gu)§
pawniard: コマタナ (komatana)§
bisharp: キルキザン (kirukizan)§
bouffalant: バッフロン (baffuron)§
rufflet: ワシボン (washibon)§
braviary: ウォーグル (uxo-guru)§
vullaby: バルチャイ (baruchai)§
mandibuzz: バルジーナ (baruji-na)§
heatmor: クイタラン (kuitaran)§
durant: アイアント (aianto)§
deino: モノズ (monozu)§
zweilous: ジヘッド (jiheddo)§
hydreigon: サザンドラ (sazandora)§
larvesta: メラルバ (meraruba)§
volcarona: ウルガモス (urugamosu)§
cobalion: コバルオン (kobaruon)§
terrakion: テラキオン (terakion)§
virizion: ビリジオン (birijion)§
tornadus: トルネロス (torunerosu)§
thundurus: ボルトロス (borutorosu)§
reshiram: レシラム (reshiramu)§
zekrom: ゼクロム (zekuromu)§
landorus: ランドロス (randorosu)§
kyurem: キュレム (kyuremu)§
keldeo: ケルヂィオ (kerudyio)§
meloetta: メロエッタ (meroetta)§
genesect: ゲノセクト (genosekuto)§
chespin: ハリマロン (harimaron)§
quilladin: ハリボーグ (haribo-gu)§
chesnaught: ブリガロン (burigaron)§
fennekin: フォッコ (fuxokko)§
braixen: テールナー (te-runa-)§
delphox: マフォクシー (mafuxokushi-)§
froakie: ケロマツ (keromatsu)§
frogadier: ゲコガシラ (gekogashira)§
greninja: ゲッコウガ (gekkouga)§
bunnelby: ホルビー (horubi-)§
diggersby: ホルード (horu-do)§
fletchling: ヤヤコマ (yayakoma)§
fletchinder: ヒノヤコマ (hinoyakoma)§
talonflame: ファイアロー (faiaro-)§
scatterbug: コフキムシ (kofukimushi)§
spewpa: コフーライ (kofu-rai)§
vivillon: ビビヨン (bibiyon)§
litleo: シシコ (shishiko)§
pyroar: カエンジシ (kaenjishi)§
flabébé: フラベベ (furabebe)§
floette: フラエッテ (furaette)§
florges: フラージェス (fura-jyesu)§
skiddo: メェークル (mexe-kuru)§
gogoat: ゴーゴート (go-go-to)§
pancham: ヤンチャム (yanchamu)§
pangoro: ゴロンダ (goronda)§
furfrou: トリミアン (torimian)§
espurr: ニャスパー (nyasupa-)§
meowstic: ニャオニクス (nyaonikusu)§
honedge: ヒトツキ (hitotsuki)§
doublade: ニダンギル (nidangiru)§
aegislash: ギルガルド (girugarudo)§
spritzee: シュシュプ (shushupu)§
aromatisse: フレフワン (furefuwan)§
swirlix: ペロッパフ (peroppafu)§
slurpuff: ペロリーム (perori-mu)§
inkay: マーイーカ (ma-i-ka)§
malamar: カラマネロ (karamanero)§
binacle: カメテテ (kametete)§
barbaracle: ガメノデス (gamenodesu)§
skrelp: クズモー (kuzumo-)§
dragalge: ドラミドロ (doramidoro)§
clauncher: ウデッポウ (udeppou)§
clawitzer: ブロスター (burosuta-)§
helioptile: エリキテル (erikiteru)§
heliolisk: エレザード (ereza-do)§
tyrunt: チゴラス (chigorasu)§
tyrantrum: ガチゴラス (gachigorasu)§
amaura: アマルス (amarusu)§
aurorus: アマルルガ (amaruruga)§
sylveon: ニンフィア (ninfyia)§
hawlucha: ルチャブル (ruchaburu)§
dedenne: デデンネ (dedenne)§
carbink: メレシー (mereshi-)§
goomy: ヌメラ (numera)§
sliggoo: ヌメイル (numeiru)§
goodra: ヌメルゴン (numerugon)§
klefki: クレッフィ (kureffyi)§
phantump: ボクレー (bokure-)§
trevenant: オーロット (o-rotto)§
pumpkaboo: バケッチャ (baketcha)§
gourgeist: パンプジン (panpujin)§
bergmite: カチコール (kachiko-ru)§
avalugg: クレベース (kurebe-su)§
noibat: オンバット (onbatto)§
noivern: オンバーン (onba-n)§
xerneas: ゼルネアス (zeruneasu)§
yveltal: イベルタル (iberutaru)§
zygarde: ジガルデ (jigarude)§
diancie: ヂィアンシー (dyianshi-)§
hoopa: フーパ (fu-pa)§
volcanion: ボルケニオン (borukenion)§
rowlet: モクロー (mokuro-)§
dartrix: フクスロー (fukusuro-)§
decidueye: ジュナイパー (junaipa-)§
litten: ニャビー (nyabi-)§
torracat: ニャヒート (nyahi-to)§
incineroar: ガオガエン (gaogaen)§
popplio: アシマリ (ashimari)§
brionne: オシャマリ (oshamari)§
primarina: アシレーヌ (ashire-nu)§
pikipek: ツツケラ (tsutsukera)§
trumbeak: ケララッパ (kerarappa)§
toucannon: ドデカバシ (dodekabashi)§
yungoos: ヤングース (yangu-su)§
gumchoos: デカグース (dekagu-su)§
grubbin: アゴジムシ (agojimushi)§
charjabug: デンジムシ (denjimushi)§
vikavolt: クワガノン (kuwaganon)§
crabrawler: マケンカニ (makenkani)§
crabominable: ケケンカニ (kekenkani)§
oricorio: オドリドリ (odoridori)§
cutiefly: アブリー (aburi-)§
ribombee: アブリボン (aburibon)§
rockruff: イワンコ (iwanko)§
lycanroc: ルガルガン (rugarugan)§
wishiwashi: ヨワシ (yowashi)§
mareanie: ヒドイデ (hidoide)§
toxapex: ドヒドイデ (dohidoide)§
mudbray: ドロバンコ (dorobanko)§
mudsdale: バンバドロ (banbadoro)§
dewpider: シズクモ (shizukumo)§
araquanid: オニシズクモ (onishizukumo)§
fomantis: カリキリ (karikiri)§
lurantis: ラランテス (rarantesu)§
morelull: ネマシュ (nemashu)§
shiinotic: マシェード (mashe-do)§
salandit: ヤトウモリ (yatoumori)§
salazzle: エンニュート (ennyu-to)§
stufful: ヌイコグマ (nuikoguma)§
bewear: キテルグマ (kiteruguma)§
bounsweet: アマカジ (amakaji)§
steenee: アママイコ (amamaiko)§
tsareena: アマージョ (ama-jo)§
comfey: キュワワー (kyuwawa-)§
oranguru: ヤレユータン (yareyu-tan)§
passimian: ナゲツケサル (nagetsukesaru)§
wimpod: コソクムシ (kosokumushi)§
golisopod: グソクムシャ (gusokumusha)§
sandygast: スナバァ (sunabaa)§
palosand: シロデスナ (shirodesuna)§
pyukumuku: ナマコブシ (namakobushi)§
typenull: タイプ：ヌル (taipunuru)§
silvally: シルヴァヂィ (shiruvadyi)§
minior: メテノ (meteno)§
komala: ネッコアラ (nekkoara)§
turtonator: バクガメス (bakugamesu)§
togedemaru: トゲデマル (togedemaru)§
mimikyu: ミミッキュ (mimikkyu)§
bruxish: ハギギシリ (hagigishiri)§
drampa: ジジーロン (jiji-ron)§
dhelmise: ダダリン (dadarin)§
jangmo-o: ジャラコ (jarako)§
hakamo-o: ジャランゴ (jarango)§
kommo-o: ジャラランガ (jararanga)§
tapukoko: カプ・コケコ (kapukokeko)§
tapulele: カプ・テテフ (kaputetefu)§
tapubulu: カプ・ブルル (kapubururu)§
tapufini: カプ・レヒレ (kapurehire)§
cosmog: コスモッグ (kosumoggu)§
cosmoem: コスモウム (kosumoumu)§
solgaleo: ソルガレオ (sorugareo)§
lunala: ルナアーラ (runaa-ra)§
nihilego: ウツロイド (utsuroido)§
buzzwole: マッシブーン (masshibu-n)§
pheromosa: フェローチェ (fyero-tye)§
xurkitree: デンジュモク (denjumoku)§
celesteela: テッカグヤ (tekkaguya)§
kartana: カミツルギ (kamitsurugi)§
guzzlord: アクジキング (akujikingu)§
necrozma: ネクロスマ (nekurosuma)§
magearna: マギアナ (magiana)§
marshadow: マーシャドー (ma-shado-)§
poipole: ベベノム (bebenomu)§
naganadel: アーゴヨン (a-goyon)§
stakataka: ツンデツンデ (tsundetsunde)§
blacephalon: ズガドーン (zugado-n)§
zeraora: ゼラオラ (zeraora)§
meltan: メルタン (merutan)§
melmetal: メルメタル (merumetaru)§
grookey: サルノリ (sarunori)§
thwakey: バチンキー (bachinki-)§
rillaboom: ゴリランダー (goriranda-)§
scorbunny: ヒバニー (hibani-)§
raboot: ラビフット (rabifutto)§
cinderace: エースバーン (e-suba-n)§
sobble: メッソン (messon)§
drizzile: ジメレオン (jimereon)§
inteleon: インテレオン (intereon)§
skowvet: ホシガリス (hoshigarisu)§
greedent: ヨクバリス (yokubarisu)§
rookidee: ココガラ (kokogara)§
corvisquire: アオガラス (aogarasu)§
corviknight: アーマーガア (a-ma-gaa)§
blipbug: サッチミシ (satchimishi)§
dottler: レドームシ (redo-mushi)§
orbeetle: イオルブ (iorubu)§
nickit: クスネ (kusune)§
thievul: フォクスライ (fuxokusurai)§
gossifleur: ヒメンカ (himenka)§
eldegoss: ワタシラガ (watashiraga)§
wooloo: ウールー (u-ru-)§
dubwool: バイウールー (baiu-ru-)§
chewtle: カムカメ (kamukame)§
drednaw: カジリガメ (kajirigame)§
yamper: ワンパチ (wanpachi)§
boltund: パルスワン (parusuwan)§
rolycoly: タンドン (tandon)§
carkol: トロッゴン (toroggon)§
coalossal: セキタンザン (sekitanzan)§
applin: カジッチュ (kajitchu)§
flapple: アップリュー (appuryu-)§
appletun: タルップル (taruppuru)§
silicobra: スナヘビ (sunahebi)§
sandaconda: サダイジャ (sadaija)§
cramorant: ウッウ (uuu)§
arrokuda: サシカマス (sashikamasu)§
barraskewda: カマスジョー (kamasujo-)§
toxel: エレゼン (erezen)§
toxtricity: ストリンダー (sutorinda-)§
sizzlipede: ヤクデ (yakude)§
centiskorch: マルヤクデ (maruyakude)§
clobbopus: タタッコ (tatakko)§
grapploct: オトスパス (otosupasu)§
sinistea: ヤバチャ (yabacha)§
polteageist: ポットデス (pottodesu)§
hatenna: ミブリム (miburimu)§
hattrem: テブリム (teburimu)§
hatterene: ブリムオン (burimuon)§
impidimp: ベロバー (beroba-)§
morgrem: ギモー (gimo-)§
grimmsnarl: オーロンゲ (o-ronge)§
obstagoon: タチフサグマ (tachifusaguma)§
perrserker: ニャイキング (nyaikingu)§
cursola: サニゴーン (sanigo-n)§
sirfetchd: ネギガナイト (negiganaito)§
mr.rime: バリコオル (barikooru)§
runerigus: デスバーン (desuba-n)§
milcery: マホミル (mahomiru)§
alcremie: マホイップ (mahoippu)§
falinks: タイレーツ (taire-tsu)§
pinchurchin: バチンウニ (bachin uni)§
snom: ユキハミ (yukihami)§
frosmoth: モスノウ (mosunou)§
stonjourner: イシヘンジン (ishihenjin)§
eiscue: コオリッポ (koorippo)§
indeedee: イエッサン (iessan)§
morpeko: モモルペコ (momorupeko)§
cufant: ゾウドウ (zoudou)§
copperajah: ダイオウドウ (daioudou)§
dracozolt: パッチラゴン (patchiragon)§
arctozolt: パッチルドン (patchirudon)§
dracovish: ウオノラゴン (uonoragon)§
arctovish: ウオノルドン (uonorudon)§
duraludon: ジュラルドン (jurarudon)§
dreepy: ドラメシヤ (dorameshiya)§
drakloak: ドロンチ (doronchi)§
dragapult: ドラパルト (doraparuto)§
zacian: ザシアン (zashian)§
zamazanta: ザマゼンタ (zamazenta)§
eternatus: ムゲンダイナ (mugendaina)§
kubfu: ダクマ (dakuma)§
urshifu: ウーラオス (u-raosu)§
zarude: ザルード (zaru-do)§
regieleki: レジイレキ (rejiireki)§
regidrago: レジドラゴ (rejidorago)§
glastrier: ブラザポス (burazaposu)§
spectrier: ライスポス (raisuposu)§
calyrex: バドレックス (badorekkusu)§
wyrdeer: アヤシシ (ayashishi)§
kleavor: バサギリ (basagiri)§
ursaluna: ガチグマ (gachiguma)§
basculegion: イヤイトウ (iyaitou)§
sneasler: オオニューラ (oonyu-ra)§
overqwil: ハリーマン (hari-man)§
enamorus: ラブトロス (rabutorosu)§
sprigatito: ニャオハ (nyaoha)§
floragato: ニャローテ (nyaro-te)§
meowscarda: マスカーニャ (masuka-nya)§
fuecoco: ホゲータ (hoge-ta)§
crocalor: アチゲータ (achige-ta)§
skeledirge: ラウドボーン (raudobo-n)§
quaxly: クワッス (kuwassu)§
quaxwell: ウェルカモ (wherukamo)§
quaquavel: ウェーニバル (whe-nibaru)§
lechonk: グルトン (guruton)§
oinkologne: パフュートン (pafyu-ton)§
tarountula: タマンチュラ (tamanchura)§
spidops: ワナイダー (wanaida-)§
nymble: マメバッタ (mamebatta)§
lokix: エクスレッグ (ekusureggu)§
pawmi: パモ (pamo)§
pawmo: パモット (pamotto)§
pawmot: パーモット (pa-motto)§
tandemaus: ワッカネズミ (wakkanezumi)§
maushold: イッカネズミ (ikkanezumi)§
fidough: パピモッチ (papimotchi)§
dachsbun: バウッツエル (bauttsueru)§
smoliv: ミニーブ (mini-bu)§
dolliv: オリーニョ (ori-nyo)§
arboliva: オリーヴァ (ori-va)§
squawkabilly: イキリンコ (ikirinko)§
nacli: コジオ (kojio)§
naclstack: ジオヅム (jiozumu)§
garganacl: キョジオーン (kyojio-n)§
charcadet: カルボウ (karubou)§
armarouge: グレンアルマ (guren aruma)§
ceruledge: ソウブレイズ (soubureizu)§
tadbulb: ズピカ (zupika)§
bellibolt: ハラバリー (harabari-)§
wattrel: カイデン (kaiden)§
kilowattrel: タイカイデン (taikaiden)§
maschiff: オラチフ (orachifu)§
mabosstiff: マフィティフ (mafyithifu)§
shroodle: シルシュルー (shirushuru-)§
grafaiai: タギングル (taginguru)§
bramblin: アノクサ (anokusa)§
brambleghast: アノホラグサ (anohoragusa)§
toedscool: ノノクラゲ (nonokurage)§
toadscruel: リククラゲ (rikukurage)§
klawf: ガケガニ (gakegani)§
capsakid: カプサイジ (kapusaiji)§
scovillain: スコヴィラン (sukoxiran)§
rellor: シガロコ (shigaroko)§
rabsca: ベラカス (berakasu)§
flittle: ヒラヒナ (hirahina)§
espathra: クエスパトラ (kuesupatora)§
tinkatink: カヌチャン (kanuchan)§
tinkatuff: ナカヌチャン (nakanuchan)§
tinkaton: デカヌチャン (dekanuchan)§
wiglett: ウミヂィグダ (umidyiguda)§
wugtrio: ウミトリオ (umitorio)§
bombirdier: オトシドリ (otoshidori)§
finizen: ナミイルカ (namiiruka)§
palafin: イルカマン (irukaman)§
varoom: ブロロン (buroron)§
revavroom: ブロロローム (burororo-mu)§
cyclizar: モトトカゲ (mototokage)§
orthworm: ミミズズ (mimizuzu)§
glimmet: キラーメ (kira-me)§
glimmora: キラフロル (kirafuroru)§
greavard: ボチ (bochi)§
houndstone: ハカドッグ (hakadoggu)§
flamigo: カラミンゴ (karamingo)§
cetoddle: アルクジラ (arukujira)§
cetitan: ハルクジラ (harukujira)§
veluza: ミミガルーサ (mimigaru-sa)§
dondozo: ヘイラッシャ (heirassha)§
tatsugiri: シャリタツ (sharitatsu)§
annihilape: コノヨザル (konoyozaru)§
clodsire: ドオー (doo-)§
farigiraf: リキキリン (rikikirin)§
dudunsparce: ノココッチ (nokokotchi)§
kingambit: ドドゲザン (dodogezan)§
greattusk: イダイナキバ (idainakiba)§
screamtail: サケブシッポ (sakebushippo)§
brutebonnet: アラブルタケ (araburutake)§
fluttermane: ハバタクカミ (habatakukami)§
slitherwing: チヲハウハネ (chiwohauhane)§
sandyshocks: スナノケガワ (sunanokegawa)§
irontreads: テツノワダチ (tetsunowadachi)§
ironbundle: テツノツツミ (tetsunotsutsumi)§
ironhands: テツノカイナ (tetsunokaina)§
ironjugulis: テツノコウベ (tetsunokoube)§
ironmoth: テツノドクガ (tetsunodokuga)§
ironthorns: テツノイバラ (tetsunoibara)§
frigibax: セビエ (sebie)§
arctibax: セゴール (sego-ru)§
baxcalibur: セグレイブ (segureibu)§
gimmighoul: コレクレー (korekure-)§
gholdengo: サーフゴー (sa-fugo-)§
wo-chien: チオンジェン (chionjyen)§
chien-pao: パオジアン (paojian)§
ting-lu: ディンルー (dhinru-)§
chi-yu: イーユイ (i-yui)§
roaringmoon: トドロクツキ (todorokutsuki)§
ironvaliant: テツノブジン (tetsunobujin)§
koraidon: コライドン (koraidon)§
miraidon: ミライドン (miraidon)§
walkingwake: ウネルミナモ (uneruminamo)§
ironleaves: テツノイサハ (tetsunoisaha)§
フシギダネ (fushigidane): Bulbasaur§
フシギソウ (fushigisou): Ivysaur§
フシギバナ (fushigibana): Venusaur§
ヒトカゲ (hitokage): Charmander§
リザード (riza-do): Charmeleon§
リザードン (riza-don): Charizard§
ゼニガメ (zenigame): Squirtle§
カメール (kame-ru): Wartortle§
カメックス (kamekkusu): Blastoise§
キャタピー (kyatapi-): Caterpie§
トランセル (toranseru): Metapod§
バタフリー (batafuri-): Butterfree§
ビードル (bi-doru): Weedle§
コクーン (koku-n): Kakuna§
スピアー (supia-): Beedrill§
ポッポ (poppo): Pidgey§
ピジョン (pijon): Pidgeotto§
ピジョット (pijotto): Pidgeot§
コラッタ (koratta): Ratatta§
ラッタ (ratta): Raticate§
オニスズメ (onisuzume): Spearow§
オニドリル (onidoriru): Fearow§
アーボ (a-bo): Ekans§
アーボック (a-bokku): Arbok§
ピカチュウ (pikachū): Pikachu§
ライチュウ (raichū): Raichu§
サンド (sando): Sandshrew§
サンドパン (sandopan): Sandslash§
ニドラン (nidoran): Nidoran§
ニドリーナ (nidori-na): Nidorina§
ニドクイン (nidokuin): Nidoqueen§
ニドリーノ (nidori-no): Nidorino§
ニドキング (nidokingu): Nidoking§
ピッピ (pippi): Clefairy§
ピクシー (pikushi-): Clefable§
ロコン (rokon): Vulpix§
キュウコン (kyūkon): Ninetales§
プリン (purin): Jigglypuff§
プクリン (pukurin): Wigglytuff§
ズバット (zubatto): Zubat§
ゴルバット (gorubatto): Golbat§
ナゾノクサ (nazonokusa): Oddish§
クサイハナ (kusaihana): Gloom§
ラフレシア (rafureshia): Vileplume§
パラス (parasu): Paras§
パラセクト (parasekuto): Parasect§
コンパン (konpan): Venonat§
モルフォン (morufuxon): Venomoth§
ヂィグダ (dyiguda): Diglett§
ダグトリオ (dagutorio): Dugtrio§
ニャース (nya-su): Meowth§
ペルシアン (perushian): Persian§
コダック (kodakku): Psyduck§
ゴルダック (gorudakku): Golduck§
マンキー (manki-): Mankey§
オコリザル (okorizaru): Primape§
ガーヂィ (ga-dyi): Growlithe§
ウインヂィ (uindyi): Arcanine§
ニョロモ (nyoromo): Poliwag§
ニョロゾ (nyorozo): Poliwhirl§
ニョロボン (nyorobon): Poliwrath§
ケーシィ (ke-syi): Abra§
ユンゲラー (yungera-): Kadabra§
フーヂィン (fu-dyin): Alakazam§
ワンリキー (wanriki-): Machop§
ゴーリキー (go-riki-): Machoke§
カイリキー (kairiki-): Machamp§
マダツボミ (madatsubomi): Bellsprout§
ウツドン (utsudon): Weepinbell§
ウツボット (utsubotto): Victreebel§
メノクラゲ (menokurage): Tentacool§
ドククラゲ (dokukurage): Tentacruel§
イシツブテ (ishitsubute): Geodude§
ゴローン (goro-n): Graveler§
ゴローニャ (goro-nya): Golem§
ポニータ (poni-ta): Ponyta§
ギャロップ (gyaroppu): Rapidash§
ヤドン (yadon): Slowpoke§
ヤドラン (yadoran): Slowbro§
コイル (koiru): Magnemite§
レアコイル (reakoiru): Magneton§
カモネギ (kamonegi): Farfetchd§
ドードー (do-do-): Doduo§
ドードリオ (do-dorio): Dodrio§
パウワウ (pauwau): Seel§
ジュゴン (jugon): Dewgong§
ベトベター (betobeta-): Grimer§
ベトベトン (betobeton): Muk§
シェルダー (sheruda-): Shellder§
パルシェン (parushen): Cloyster§
ゴース (go-su): Gastly§
ゴースト (go-suto): Haunter§
ゲンガー (genga-): Gengar§
イワーク (iwa-ku): Onix§
スリープ (suri-pu): Drowzee§
スリーパー (suri-pa-): Hypno§
クラブ (kurabu): Krabby§
キングラー (kingura-): Kingler§
ビリリダマ (biriridama): Voltorb§
マルマリン (marumarin): Electrode§
タマタマ (tamatama): Exeggcute§
ナッシー (nasshi-): Exeggutor§
カラカラ (karakara): Cubone§
ガラガラ (garagara): Marowak§
サワムラー (sawamura-): Hitmonlee§
エビワラー (ebiwara-): Hitmonchan§
ベロリンガ (beroringa): Lickitung§
ドガース (doga-su): Koffing§
マタドカース (matadoka-su): Weezing§
サイホーン (saiho-n): Rhyhorn§
サイドン (saidon): Rhydon§
ラッキ (rakki): Chansey§
モンジャラ (monjara): Tangela§
ガルーラ (garu-ra): Kangaskhan§
